GEFIS_EINHEIT,GEBIET_NAME,THEMA_NAME,SET_NAME,SUBSET_NAME,SUBSUBSET_NAME,INDIKATOR_ID,INDIKATOR_NAME,INDIKATOR_JAHR,INDIKATOR_VALUE,EINHEIT_KURZ,EINHEIT_LANG
841800P,"Schlatt, Politische Gemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,,Fr.,Franken
842100PS,"Dättlikon, Politische Gemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,64791,Fr.,Franken
842200PS,"Pfungen, Politische Gemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,59850,Fr.,Franken
842400PP,"Embrach, Politische Gemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,93089,Fr.,Franken
842500P,"Oberembrach, Politische Gemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,,Fr.,Franken
842600PP,"Lufingen, Politische Gemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,85639,Fr.,Franken
842700P,"Rorbas, Politische Gemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,,Fr.,Franken
842701P,"Freienstein-Teufen, Politische Gemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,,Fr.,Franken
844200PP,"Hettlingen, Politische Gemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,47504,Fr.,Franken
844400PP,"Henggart, Politische Gemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,40179,Fr.,Franken
844700P,"Dachsen, Politische Gemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,,Fr.,Franken
845000P,"Andelfingen, Politische Gemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,,Fr.,Franken
845100P,"Kleinandelfingen, Politische Gemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,,Fr.,Franken
845200P,"Adlikon, Politische Gemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,,Fr.,Franken
845700P,"Humlikon, Politische Gemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,,Fr.,Franken
845800P,"Dorf, Politische Gemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,,Fr.,Franken
845900P,"Volken, Politische Gemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,,Fr.,Franken
846000P,"Marthalen, Politische Gemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,,Fr.,Franken
846200PP,"Rheinau, Politische Gemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,,Fr.,Franken
846300P,"Benken, Politische Gemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,,Fr.,Franken
846600P,"Trüllikon, Politische Gemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,,Fr.,Franken
846700P,"Truttikon, Politische Gemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,,Fr.,Franken
846800P,"Waltalingen, Politische Gemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,,Fr.,Franken
847100P,"Dägerlen, Politische Gemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,,Fr.,Franken
847200PP,"Seuzach, Politische Gemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,125413,Fr.,Franken
847400PP,"Dinhard, Politische Gemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,41429,Fr.,Franken
847500P,"Ossingen, Politische Gemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,,Fr.,Franken
847600P,"Unterstammheim, Politische Gemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,,Fr.,Franken
847700P,"Oberstammheim, Politische Gemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,,Fr.,Franken
847800PP,"Thalheim a.d.Thur, Politische Gemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,6458,Fr.,Franken
847900PP,"Altikon, Politische Gemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,5472,Fr.,Franken
848400PS,"Weisslingen, Politische Gemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,22360,Fr.,Franken
848702PS,"Zell, Politische Gemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,291155,Fr.,Franken
848800P,"Turbenthal, Politische Gemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,,Fr.,Franken
848900P,"Wildberg, Politische Gemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,,Fr.,Franken
849200P,"Wila, Politische Gemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,,Fr.,Franken
849401PS,"Bauma, Politische Gemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,61893,Fr.,Franken
849700PS,"Fischenthal, Politische Gemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,4589,Fr.,Franken
852300PP,"Hagenbuch, Politische Gemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,13430,Fr.,Franken
854201P,"Wiesendangen, Politische Gemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,,Fr.,Franken
854500PP,"Rickenbach, Politische Gemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,33158,Fr.,Franken
854800P,"Ellikon a.d.Th., Politische Gemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,,Fr.,Franken
860000PP,"Dübendorf, Stadt",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,550474,Fr.,Franken
860300P,"Schwerzenbach, Politische Gemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,,Fr.,Franken
860400P,"Volketswil, Politische Gemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,,Fr.,Franken
860600PP,"Greifensee, Politische Gemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,160393,Fr.,Franken
860700PP,"Seegräben, Politische Gemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,14976,Fr.,Franken
860800P,"Bubikon, Politische Gemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,,Fr.,Franken
861000PP,"Uster, Stadt",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,1708404,Fr.,Franken
861700PS,"Mönchaltorf, Politische Gemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,58099,Fr.,Franken
861800PS,"Oetwil am See, Politische Gemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,12855,Fr.,Franken
862000PP,"Wetzikon, Stadt",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,351108,Fr.,Franken
862500P,"Gossau, Politische Gemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,,Fr.,Franken
862700P,"Grüningen, Politische Gemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,,Fr.,Franken
863000P,"Rüti, Politische Gemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,38538,Fr.,Franken
863400PS,"Hombrechtikon, Politische Gemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,166345,Fr.,Franken
863500PS,"Dürnten, Politische Gemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,64866,Fr.,Franken
863600PS,"Wald, Politische Gemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,104050,Fr.,Franken
870000P,"Küsnacht, Politische Gemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,,Fr.,Franken
870200PS,"Zollikon, Politische Gemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,380372,Fr.,Franken
870300PS,"Erlenbach, Politische Gemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,48459,Fr.,Franken
870400PS,"Herrliberg, Politische Gemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,277208,Fr.,Franken
870600PS,"Meilen, Politische Gemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,,Fr.,Franken
870700PS,"Uetikon am See, Politische Gemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,137025,Fr.,Franken
870800PS,"Männedorf, Politische Gemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,,Fr.,Franken
871200PS,"Stäfa, Politische Gemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,318339,Fr.,Franken
880000PS,"Thalwil, Politische Gemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,,Fr.,Franken
880200PS,"Kilchberg, Politische Gemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,295313,Fr.,Franken
880300PS,"Rüschlikon, Politische Gemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,465169,Fr.,Franken
880500PS,"Richterswil, Politische Gemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,332739,Fr.,Franken
881000PS,"Horgen, Politische Gemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,753846,Fr.,Franken
881600PS,"Hirzel, Politische Gemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,74509,Fr.,Franken
882000PP,"Wädenswil, Stadt",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,742426,Fr.,Franken
882400PP,"Schönenberg, Politische Gemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,,Fr.,Franken
882500PP,"Hütten, Politische Gemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,,Fr.,Franken
890200P,"Urdorf, Politische Gemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,,Fr.,Franken
890300P,"Birmensdorf, Politische Gemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,,Fr.,Franken
890400P,"Aesch, Politische Gemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,,Fr.,Franken
890600PP,"Bonstetten, Politische Gemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,35563,Fr.,Franken
890700P,"Wettswil a.A., Politische Gemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,,Fr.,Franken
890800PS,"Hedingen, Politische Gemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,44455,Fr.,Franken
891000P,"Affoltern a.A., Politische Gemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,,Fr.,Franken
891100PP,"Rifferswil, Politische Gemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,18146,Fr.,Franken
891200P,"Obfelden, Politische Gemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,,Fr.,Franken
891300P,"Ottenbach, Politische Gemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,,Fr.,Franken
891400P,"Aeugst a.A., Politische Gemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,,Fr.,Franken
891500PP,"Hausen a.A., Politische Gemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,21944,Fr.,Franken
892600PP,"Kappel a.A., Politische Gemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,15810,Fr.,Franken
893200P,"Mettmenstetten, Politische Gemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,,Fr.,Franken
893300P,"Maschwanden, Politische Gemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,,Fr.,Franken
893400PP,"Knonau, Politische Gemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,61253,Fr.,Franken
894200PS,"Oberrieden, Politische Gemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,253464,Fr.,Franken
895200PS,"Schlieren, Stadt",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,807705,Fr.,Franken
895300PS,"Dietikon, Stadt",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,929491,Fr.,Franken
