,,,Gemeindesteuerfüsse 2010 / Gewogene Mittel,,,,,,"Altikon seit 2009 in der Region Winterthur u.U., nicht mehr im Weinland, gew. Mittel",,,,,,,,,,,,,,,,,
,,,In Prozent der einfachen Staatssteuer,,,,,,,,,,,,,,,,,,,,,,,
,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
,,,,,,,,,,,Gesamtsteuerfüsse,,,,,,,,,,St'fuss,,,,,
,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,für,,,,,
,,,,Poli-,Primar-,,Oberst'-,Ref. ,Röm.-kath.,Christkath.,,,,mit christ-,,prov. gewogene Mittel,,,def. gewogene Mittel,,jurist-,,,,,
,,,,tische,schul-,Schul-,schul-,Kirch-,Kirch-,Kirch-,ohne,mit ref.,mit kath.,kath.,,-,-,,-,-,ische,,,,,
Alph.,BFS,P 90,Gemeinden,Gemeinde,gemeinde,gemeinde,gemeinde,gemeinde,gemeinde,gemeinde,Kirchen,Kirche,Kirche,Kirche,,o. Kirche,mit Kirche,,o. Kirche,mit Kirche,Pers.,,,,,
,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
158 ,251 ,93,Weiningen,82,0,0,19,11,15,14,101,112,116,115,,,,,,110.4,113.88,,,,,
10 ,111 ,94,Bäretswil,118,0,0,0,14,14,14,118,132,132,132,,,,,,128.3,132.00,,,,,
20 ,112 ,95,Bubikon,43,0,69,0,11,15,14,112,123,127,126,,,,,,121.4,124.40,,,,,
35 ,113 ,96,Dürnten,119,0,0,0,14,14,14,119,133,133,133,,,,,,129.1,133.00,,,,,
46 ,114 ,97,Fischenthal,61,0,61,0,14,14,14,122,136,136,136,,,,,,132.9,136.00,,,,,
52 ,115 ,98,Gossau,41,51,0,27,14,16,14,119,133,135,133,,,,,,129.5,133.70,,,,,
54 ,116 ,99,Grüningen,46,0,67,0,13,15,14,113,126,128,127,,,,,,123.0,126.64,,,,,
61 ,117 ,100,Hinwil,41,45,0,26,11,16,14,112,123,128,126,,,,,,122.1,124.75,,,,,
124 ,118 ,101,Rüti,57,38,0,25,14,14,14,120,134,134,134,,,,,,130.5,134.00,,,,,
131 ,119 ,102,Seegräben,94,0,0,23,13,16,14,117,130,133,131,,,,,,126.7,131.05,,,,,
152 ,120 ,103,Wald,63,37,0,22,14,16,14,122,136,138,136,,,,,,132.8,136.90,,,,,
161 ,121 ,104,Wetzikon,54,39,0,23,14,16,14,116,130,132,130,,,,,,126.7,130.90,,,,,
2 ,131 ,105,Adliswil,110,0,0,0,12,13,14,110,122,123,124,,,,,,118.5,122.49,,,,,
62 ,132 ,106,Hirzel,52,0,64,0,11,15,14,116,127,131,130,,,,,,125.3,128.32,,,,,
67 ,133 ,107,Horgen,90,0,0,0,10,13,14,90,100,103,104,,,,,,97.4,101.44,,,,,
71 ,134 ,108,Hütten,57,45,0,20,14,15,14,122,136,137,136,,,,,,132.0,136.49,,,,,
75 ,135 ,109,Kilchberg,80,0,0,0,9,9,14,80,89,89,94,,,,,,85.4,89.00,,,,,
81 ,136 ,110,Langnau a.A.,99,0,0,0,11,13,14,99,110,112,113,,,,,,107.5,110.96,,,,,
101 ,137 ,111,Oberrieden,84,0,0,0,11,12,14,84,95,96,98,,,,,,93.6,95.41,,,,,
117 ,138 ,112,Richterswil,104,0,0,0,12,13,14,104,116,117,118,,,,,,112.4,116.47,,,,,
122 ,139 ,113,Rüschlikon,82,0,0,0,9,10,14,82,91,92,96,,,,,,85.7,91.44,,,,,
129 ,140 ,114,Schönenberg,93,0,0,20,13,15,14,113,126,128,127,,,,,,123.4,126.78,,,,,
139 ,141 ,115,Thalwil,80,0,0,0,10,10,14,80,90,90,94,,,,,,86.5,90.00,,,,,
151 ,142 ,116,Wädenswil,90,0,0,20,12,13,14,110,122,123,124,,,,,,118.7,122.45,,,,,
42 ,151 ,117,Erlenbach,82,0,0,0,10,9,14,82,92,91,96,,,,,,89.0,91.59,,,,,
59 ,152 ,118,Herrliberg,80,0,0,0,8,9,14,80,88,89,94,,,,,,85.2,88.37,,,,,
66 ,153 ,119,Hombrechtikon,119,0,0,0,12,15,14,119,131,134,133,,,,,,129.1,132.20,,,,,
79 ,154 ,120,Küsnacht,30,0,47,0,6,9,14,77,83,86,91,,,,,,81.7,84.17,,,,,
85 ,155 ,121,Männedorf,90,0,0,0,12,14,14,90,102,104,104,,,,,,98.8,102.74,,,,,
89 ,156 ,122,Meilen,82,0,0,0,9,10,14,82,91,92,96,,,,,,88.2,91.37,,,,,
106 ,157 ,123,Oetwil a.S.,122,0,0,0,14,12,14,122,136,134,136,,,,,,131.8,135.14,,,,,
134 ,158 ,124,Stäfa,36,0,46,0,9,10,14,82,91,92,96,,,,,,88.8,91.37,,,,,
143 ,159 ,125,Uetikon a.S.,93,0,0,0,9,14,14,93,102,107,107,,,,,,100.1,103.90,,,,,
169 ,161 ,126,Zollikon ,79,0,0,0,7,8,14,79,86,87,93,,,,,,83.5,86.39,,,,,
170 ,160 ,127,Zumikon,63,0,13,0,6,8,14,76,82,84,90,,,,,,80.5,82.74,,,,,
