INDIKATOR_ID,INDIKATOR_NAME,EINHEIT_LANG,QUELLE,BESCHREIBUNG
1250,70 Grundeigentum  [Fr./Einw.],Franken pro Einwohner,"Statistisches Amt des Kantons Zürich, Gemeindefinanzstatistik (GEFIS)",Investitionsausgaben für Grundeigentum Finanzvermögen
1251,71 Zugänge Mobilien [Fr./Einw.],Franken pro Einwohner,"Statistisches Amt des Kantons Zürich, Gemeindefinanzstatistik (GEFIS)",Investitionsausgaben für Mobilien Finanzvermögen
1252,79 Übertragungen [Fr./Einw.],Franken pro Einwohner,"Statistisches Amt des Kantons Zürich, Gemeindefinanzstatistik (GEFIS)",Übertragungen
1253,80 Grundeigentum Finanzvermögen [Fr./Einw.],Franken pro Einwohner,"Statistisches Amt des Kantons Zürich, Gemeindefinanzstatistik (GEFIS)",Investitionseinnahmen aus Grundeigentum Finanzvermögen
1254,81 Abgänge Mobilien [Fr./Einw.],Franken pro Einwohner,"Statistisches Amt des Kantons Zürich, Gemeindefinanzstatistik (GEFIS)",Investitionseinnahmen aus Mobilien Finanzvermögen
1255,89 Übertragungen [Fr./Einw.],Franken pro Einwohner,"Statistisches Amt des Kantons Zürich, Gemeindefinanzstatistik (GEFIS)",Übertragungen
1256,0 Nettoinvestitionen Behörden und allg. Verwaltung [Fr./Einw.],Franken pro Einwohner,"Statistisches Amt des Kantons Zürich, Gemeindefinanzstatistik (GEFIS)",Nettoinvestitionen in Behörden und allgemeine Verwaltung
1257,1 Nettoinvestitionen Rechtschutz und Sicherheit [Fr./Einw.],Franken pro Einwohner,"Statistisches Amt des Kantons Zürich, Gemeindefinanzstatistik (GEFIS)",Nettoinvestitionen in Rechtschutz und Sicherheit
1258,2 Nettoinvestitionen Bildung [Fr./Einw.],Franken pro Einwohner,"Statistisches Amt des Kantons Zürich, Gemeindefinanzstatistik (GEFIS)",Nettoinvestitionen in Bildung
1259,3 Nettoinvestitionen Kultur und Freizeit [Fr./Einw.],Franken pro Einwohner,"Statistisches Amt des Kantons Zürich, Gemeindefinanzstatistik (GEFIS)",Nettoinvestitionen in Kultur und Freizeit
1260,4 Nettoinvestitionen Gesundheit [Fr./Einw.],Franken pro Einwohner,"Statistisches Amt des Kantons Zürich, Gemeindefinanzstatistik (GEFIS)",Nettoinvestitionen in Gesundheit
